Location,Country,Temperature,CO2Emissions ,SeaLevelRise ,Precipitation ,Humidity ,Windspeed 
West Michelle,Latvia,16.314291,385.77905,1.2808853,82.52693,34.883183,22.087566
New Yolanda,France,18.757551,470.07324,0.84565675,56.040554,25.693022,10.921598
Caseyview,Ghana,9.359806,393.45285,-0.29146713,6.4900303,18.93943,42.85818
Donaldhaven,Algeria,19.353014,381.73532,0.34229895,19.544296,26.616951,41.29378
Deborahstad,Saudi Arabia,9.85437,398.33176,-0.3228477,19.70335,24.446836,2.3517923
New Jessicaland,Taiwan,10.400401,298.7305,0.86215717,66.58558,14.310903,11.836023
Port Elizabethstad,Sierra Leone,16.614637,475.52518,1.2436739,31.278307,15.666193,44.936966
New Caitlynbury,Indonesia,8.580852,371.4757,1.1091503,5.317195,1.8763078,13.934834
New Zacharystad,Suriname,3.3356864,450.84604,-0.74362344,69.83815,93.17298,7.104977
New Kevin,Saint Pierre and Miquelon,18.928406,400.10535,-1.9567834,42.271507,88.27402,35.02198
Lake Christineview,French Guiana,24.258776,323.047,0.3629422,17.676626,19.587133,5.7775617
Lanebury,Montserrat,11.917176,364.79916,-0.6166587,26.130114,74.39736,47.587223
Lake Raymond,Isle of Man,19.433609,459.20013,-0.9723348,44.645367,58.46552,39.93395
East Cynthia,French Guiana,3.329502,472.2167,0.025863761,7.8700533,44.91452,11.3385725
North Alicialand,Swaziland,15.252809,474.6533,-1.3058386,55.940926,53.16252,13.868213
Bonnietown,Micronesia,21.02365,438.0891,1.5179851,90.79015,47.172253,9.453086
Wernerborough,Kyrgyz Republic,7.0705733,371.62408,-0.15157028,79.8988,29.937878,39.75565
North Staceytown,United Arab Emirates,26.757284,377.34586,0.2144976,47.91964,98.96498,41.52631
West Justinton,Swaziland,13.5820465,245.31999,-0.3133336,22.647636,61.78429,16.923407
Brettmouth,Congo,16.419891,340.8138,0.006553588,64.543274,30.846815,29.357265
Lake Amandaland,Kuwait,20.390263,505.27695,0.14219368,95.23202,90.86555,45.780167
West Brian,Bosnia and Herzegovina,16.518728,419.96048,0.5897315,94.280045,21.812378,30.464891
Port Aliciatown,Micronesia,11.041122,326.58862,0.19033962,1.158613,75.395386,49.976948
East Stephanie,Hong Kong,17.72922,385.18973,-0.5466142,71.20436,29.989445,20.606888
Sharonfort,Kiribati,8.210521,390.02994,-1.2649349,49.459824,27.084764,43.05301
North Cynthiashire,Cambodia,12.341184,386.06476,0.41966975,1.6690863,7.587079,44.407215
Laurenfort,Syrian Arab Republic,22.36042,449.83835,-0.5732334,65.69852,29.30828,3.4246519
East Nicolemouth,Greece,23.623983,409.2703,-0.8721981,68.52778,56.205147,31.207018
East Gary,Seychelles,7.704155,481.82153,0.480895,84.70728,25.15479,21.782307
Coffeyton,Zambia,4.0756183,416.77307,-0.59906465,62.99808,15.833372,17.321049
Christianbury,North Macedonia,18.957909,460.4931,-1.43378,53.523846,57.329212,46.726715
Sotoview,Venezuela,16.52859,450.81436,0.09137707,72.21145,86.059456,45.24973
Holtside,Equatorial Guinea,14.845157,395.78964,0.10498109,73.79625,82.25987,9.9264765
New Sherrytown,Yemen,16.676413,414.96356,-1.0137247,40.342854,56.779846,44.04419
New Jennifer,Panama,18.867273,488.67294,0.64771175,18.353827,13.094469,13.455346
Fischerbury,France,12.2860985,429.95602,0.03849608,10.554047,59.72442,29.87439
Annmouth,Kuwait,12.810015,404.2475,-0.15110515,58.45735,38.596146,42.934147
Danielshire,Sao Tome and Principe,22.318447,412.7176,0.16609013,75.06416,54.106983,14.218528
Lake Leslie,Guadeloupe,19.751226,366.73416,1.3036857,43.2232,15.8061,39.823616
Tiffanyborough,Belize,12.211736,464.73734,-0.79859084,70.178986,79.5014,6.345463
South Tom,Holy See (Vatican City State),21.001219,481.32178,-0.7026803,84.94087,76.695786,30.78518
Graystad,Rwanda,17.644548,396.7055,0.8177465,2.5270493,46.135284,26.861538
East Timothyfort,Turks and Caicos Islands,21.673086,397.33746,0.67050874,96.85515,18.00018,0.7487073
Wrightland,Congo,11.788189,315.44705,0.19769298,22.531492,24.706852,45.10757
Tinaview,Tonga,3.7804286,461.917,-0.6824426,9.070253,51.188908,28.627516
Jonestown,Qatar,9.395501,301.6241,-1.1886901,15.593832,18.802305,30.632303
Port Leah,Bhutan,10.344864,419.3046,1.1811378,9.3125,34.709335,39.94116
Port Alexandraview,Myanmar,21.36224,467.01505,1.1670147,92.171715,0.35340086,29.366264
Conleymouth,Bouvet Island (Bouvetoya),17.377195,251.68954,0.39584234,9.817887,15.894472,24.406519
South Joel,New Zealand,15.270022,501.15283,0.00142364,17.569632,58.917572,31.808647
New Christopherburgh,Antigua and Barbuda,9.08662,380.97455,-0.4124132,61.63802,2.4415743,6.1063256
Ellisfort,Romania,6.8729076,365.98038,0.91570413,18.844141,43.059402,17.709644
Wilsonmouth,Burkina Faso,15.571013,303.15033,-0.23213345,8.601422,12.881139,13.002522
West Christina,Austria,23.854687,384.18167,2.103257,89.776924,23.059929,7.378867
Jessicaburgh,United States Minor Outlying Islands,17.033327,473.01456,-0.18213798,35.03978,81.67233,8.496943
South Beckyville,Gabon,17.1776,376.9929,0.000957441,24.347513,54.5017,12.938028
East Rickyberg,Haiti,22.915438,339.44534,-2.392902,15.127695,27.15568,29.774036
Robinview,Nicaragua,11.02898,454.17087,0.58570784,34.178062,11.431393,49.570873
Johnsonmouth,Palau,21.464262,382.3917,-0.8941796,55.453197,31.342886,36.562134
Stevenland,Norfolk Island,16.761858,361.08188,-2.5020869,55.80522,63.13103,22.84738
Cookstad,San Marino,19.741396,362.53613,0.9729213,7.1141086,61.480324,8.883564
East Juan,Bermuda,14.873209,393.17798,-0.53034073,42.575886,15.65347,2.7274733
East Debraville,Spain,14.369534,359.27454,0.67050374,28.728369,6.9791927,2.738264
Port Jennifer,Jordan,17.802309,423.89713,-0.59711385,0.88890177,38.500114,16.231855
Port Josestad,Burkina Faso,11.971929,440.1532,1.0090833,27.567457,82.79443,21.501997
Jonesmouth,Greenland,19.080385,404.43634,2.0536861,62.35884,84.97852,41.5229
Goodfort,Sao Tome and Principe,15.823808,304.45068,-0.27447796,81.42241,80.34035,31.682491
Warnermouth,Barbados,16.55058,408.388,-0.41032025,63.49086,31.957964,35.83784
Lake Arthurhaven,Qatar,21.618658,385.04834,0.45331198,76.69095,63.909534,24.970745
North Kimberlytown,Ireland,12.590339,388.03876,-0.7838636,7.090151,67.80513,26.199553
Boltonhaven,Slovakia (Slovak Republic),26.017529,365.64926,0.36818352,81.82259,14.63898,32.595352
West Anthonyton,Samoa,12.970371,379.7901,1.6218889,72.857796,47.14943,0.459132
Andersonfort,Jamaica,18.713326,409.68204,0.025325323,5.035409,22.281347,4.777518
North Robertbury,Maldives,9.473849,480.84338,0.62713677,81.828674,47.267067,27.716635
East Codyland,Hong Kong,20.204268,412.72357,0.91168934,17.754847,35.454803,8.735424
South Tamara,Vanuatu,13.433911,391.613,0.07734592,8.478325,76.58505,13.509029
Johnsonburgh,Georgia,4.4378777,408.37042,-0.84276134,30.882267,80.18041,24.17326
Johnberg,Czech Republic,6.152658,311.55917,-0.007424538,9.11875,52.14543,1.2090919
North Brianview,Korea,13.228852,427.3022,-0.87203276,11.50371,89.81019,27.280529
Jeffshire,Tonga,19.950481,355.51572,-2.020467,38.87994,69.878815,11.935602
Theresafurt,Netherlands,14.945004,496.9928,-1.5278394,28.845728,87.03282,34.72491
Padillaborough,Philippines,19.072414,384.45972,0.2209405,16.693481,86.47314,9.872976
New Lauraborough,Chad,21.013771,356.14053,1.2152615,22.77668,87.11751,34.27667
Holmesport,Ukraine,14.311026,359.61853,-0.68650514,55.301804,75.680504,23.266277
Thomasport,Sri Lanka,4.5868316,332.56305,0.37443098,13.109346,85.6551,34.278046
Harrisshire,Malta,17.775082,403.99365,-1.2533519,30.605452,5.1291246,32.194912
Nicholasbury,Saudi Arabia,14.002787,402.82172,-1.8096442,2.177377,61.654636,16.590782
West Natalie,Belgium,20.813717,383.76392,0.48522907,43.447025,62.56708,20.704597
Tinaburgh,Romania,17.192041,286.4722,0.6921375,54.543995,25.977531,30.698578
Shellyberg,Tanzania,9.452133,399.20303,-1.4563034,6.0884404,86.52453,23.919397
Josephfort,Heard Island and McDonald Islands,15.681062,380.10968,-0.30704254,14.818423,53.09496,14.431822
South Anneview,Svalbard & Jan Mayen Islands,3.3073323,409.6629,-0.5979306,51.250217,9.146162,13.382231
South Sandra,Benin,12.310473,450.4986,0.95451224,67.78241,11.472233,10.550569
Port Lindsey,Congo,17.123817,418.1934,-0.43409613,75.47042,54.75117,29.771389
Ariasbury,Azerbaijan,14.118083,448.9579,-0.15701917,25.569296,5.5521364,2.0070062
New Chelsea,Thailand,8.105278,360.1888,0.5008356,57.791306,50.40811,33.137894
Lake Tracy,New Zealand,20.527403,429.93985,0.3609447,87.831024,93.9425,48.419575
Daniellemouth,Czech Republic,23.761724,444.4592,-0.21079372,93.96024,40.613598,0.90095454
Laneville,Thailand,8.738452,408.06323,1.2452404,67.28132,55.046715,24.534891
Careyhaven,Finland,11.707515,426.10278,-0.6530915,15.954793,52.362072,23.674686
West Eric,Reunion,9.794312,399.86926,-0.78324836,98.02291,19.211329,36.639523
Samuelside,Nauru,15.353755,323.2681,-1.2455966,45.64371,19.938208,19.348886
New Sherry,Tunisia,10.672025,367.87543,0.09305418,97.74862,76.79635,19.533665
Bartonland,Switzerland,19.690405,437.6921,-1.2375151,98.99189,99.05485,8.639709
Beasleyville,Norway,10.348319,421.25085,0.72598743,8.675983,83.96327,14.845247
Lewismouth,British Virgin Islands,19.702007,470.41632,0.42067906,89.888466,18.423532,26.31422
Whitneyside,Slovakia (Slovak Republic),11.9357,354.0226,0.5529001,49.79769,77.836975,28.894796
Derrickland,Germany,18.519827,403.26428,0.80582225,19.105679,30.237267,31.198849
Vegaville,Latvia,9.4563,398.50574,0.58981425,47.759636,53.07565,42.03684
Port David,Guam,8.601107,424.74152,-0.41382653,47.657352,59.990192,7.2674723
Port Kim,Turkey,19.510677,426.91107,0.19937102,78.99807,98.03973,14.807274
Crystaltown,Norway,20.482906,432.1495,2.362687,78.78808,6.473172,14.48164
Portermouth,Antarctica (the territory South of 60 deg S),15.046984,351.6653,0.2731705,59.17119,92.970985,27.462065
New Matthew,Uganda,15.730293,405.04428,0.4035488,85.510864,47.014214,29.039104
Ryanside,Morocco,13.260788,428.84763,0.4786031,50.40079,58.571087,26.824755
North Christina,Bouvet Island (Bouvetoya),10.704259,438.17996,-0.6516579,72.8814,98.28394,24.559097
Amyshire,Guinea,6.9201326,438.99197,0.4399137,13.702247,31.650106,26.64333
New Sara,Montenegro,21.601286,367.01755,0.8809448,17.656233,83.54149,9.822397
South Loriton,Zimbabwe,19.351452,491.24628,-0.15786228,62.869274,30.355654,22.570328
Morsetown,Japan,7.680148,243.10252,-0.737917,6.035929,63.36061,43.15081
Williamsonborough,Nauru,7.6330028,371.4124,-0.028703744,82.349655,8.533258,10.793693
North Rodney,Sudan,23.987213,376.5817,-0.9134524,64.99478,53.339573,6.3266373
Lake Katherine,Isle of Man,16.95814,375.1007,-1.0189601,68.17925,24.83106,29.915936
New Brenda,Niger,25.20128,409.9091,1.4560528,0.86524224,78.746605,39.052994
Mileschester,Egypt,6.768778,295.02112,0.6748074,86.57461,0.5169651,1.2094452
East Brandiberg,Cape Verde,13.163411,426.73453,0.91707873,81.47321,4.1305885,34.77232
Holmesshire,Brazil,15.114594,456.85703,-0.76439416,12.418267,0.4047037,15.724995
Johnshire,Cote d'Ivoire,15.332608,370.95795,-0.57880557,75.950676,73.11966,30.834593
Port Robertchester,Sudan,15.144452,317.90524,0.21117502,87.74098,12.392848,29.397411
South Aprilborough,Hungary,15.31866,419.38025,0.28953585,52.416077,39.792747,2.1015995
Nicholasmouth,Greenland,16.134178,435.46677,0.35793754,19.53954,30.198679,10.634747
Port Dwayne,Russian Federation,12.623113,421.1112,-0.105886646,4.3811193,86.83542,10.046061
Port Jeanetteside,Kyrgyz Republic,20.039001,379.8259,-0.55991966,20.892702,70.80242,7.010036
Romeromouth,Bulgaria,12.329974,417.61307,0.95267266,78.16203,64.02449,45.956966
South Tiffany,Mayotte,6.8001566,419.3111,0.98441076,81.92453,70.04059,24.339863
Amyfort,Haiti,6.59715,503.83548,0.70634496,0.16621016,12.692172,30.076313
North Markhaven,Sweden,12.78109,460.8202,-0.6284129,72.53589,52.665424,44.99221
Rothville,Bulgaria,17.566536,324.69183,-1.0961432,9.76518,10.431938,18.168045
Brianmouth,Mauritania,12.752243,442.9934,0.003288528,67.26972,1.1466662,14.522101
Hatfieldland,Kyrgyz Republic,10.804121,370.69092,-0.19117126,21.399141,84.1825,36.532978
West Michaelmouth,Switzerland,24.084734,413.6053,0.8978127,86.38698,12.3021,21.52625
Cummingsside,Svalbard & Jan Mayen Islands,18.930605,522.73804,1.2638867,71.911125,48.211597,1.7678047
Williamport,Bermuda,13.718885,398.49146,-0.29242554,91.76191,64.124794,1.1495198
Vangview,Monaco,17.057756,477.81824,0.64035106,2.2365394,18.654478,35.726414
North Christieport,Ethiopia,9.010649,429.04645,1.0908808,71.022,9.22269,47.640594
Phillipland,Heard Island and McDonald Islands,16.50632,426.27164,-0.5802756,86.97764,79.47438,23.810553
Saraland,Peru,15.508577,416.15887,0.9794051,30.285952,62.31354,48.931435
West Erik,Belarus,17.059519,397.51575,1.9922539,42.536304,9.344544,32.33552
North Noahland,South Georgia and the South Sandwich Islands,12.225866,325.5795,-0.4678487,22.357971,76.84256,39.980923
Jamesland,Armenia,16.423407,455.87463,0.93058884,18.52764,60.965374,6.3889513
Lake Barbaramouth,Bulgaria,13.587384,442.2723,0.13401937,27.53374,16.858822,4.585623
Barreraland,Armenia,13.284363,439.51883,0.39583793,97.40153,57.78702,13.11314
East Alexander,Gibraltar,12.605861,404.89133,0.03312439,54.217995,16.409632,0.012515684
South Lisafort,Tajikistan,8.307735,400.07788,1.5241127,54.42165,65.44694,27.922235
East Justinville,Namibia,23.12573,380.89456,2.0878313,36.93533,94.22457,24.148735
Lake Jeffery,Mayotte,27.629587,433.35254,0.43702108,43.40833,87.72938,17.80583
Juliefort,Chad,21.957945,419.77005,-1.1073366,55.199562,75.41307,11.168141
North Lindaberg,Mauritius,13.429846,396.90323,0.30015388,71.95425,4.8366103,28.139662
Calebstad,Turks and Caicos Islands,23.617792,486.97723,-0.07467976,7.5293384,28.529444,10.983968
Williambury,Papua New Guinea,22.213951,427.82327,0.3345093,93.412605,43.592804,18.076847
West Patriciaberg,Benin,14.79302,375.07104,-0.72960466,25.940784,55.945896,4.9719877
East Crystalchester,Equatorial Guinea,19.484848,460.0312,0.18415362,38.084007,99.43566,44.40498
New Davidton,Singapore,8.006654,468.3832,0.71289945,44.99568,31.910295,11.68166
Harrisonmouth,Mauritius,8.977767,420.18872,0.8980933,71.086815,76.74941,12.886302
Lake Leefurt,Togo,1.4719099,433.30737,-0.8346394,20.31953,48.811283,5.7531724
Herreraberg,Afghanistan,22.488379,343.3141,0.40941244,55.335262,11.152833,36.25112
Deannaberg,Togo,19.700193,331.0582,1.1222196,46.268394,96.774895,18.975752
Port Ritaport,Puerto Rico,22.351738,466.6096,-1.6101961,16.911982,41.624344,14.9292965
East Johnport,Gabon,20.71482,378.0648,-0.32265517,68.4216,14.862335,6.469885
Dennisfurt,Uruguay,16.75147,426.8172,-0.58333635,63.755997,93.49324,14.902668
Port Timothyburgh,Solomon Islands,15.981599,317.6042,0.12131963,34.100063,89.2686,13.173089
South Katherinefurt,Zimbabwe,10.712514,413.87317,-1.1849926,54.770077,26.411203,39.920856
Brockville,Moldova,24.667685,417.64517,0.80284595,43.674206,45.16474,3.185584
Rachelburgh,Liberia,16.344284,418.54092,1.427729,93.585365,37.686428,44.29576
Smithport,Guadeloupe,9.423055,384.52795,1.2343975,35.064938,27.710588,46.378525
Jasonbury,Cape Verde,12.650171,411.61105,-0.859703,90.43851,64.66399,21.456718
Collinschester,Bangladesh,17.63171,442.3196,-0.91185325,13.6582,70.45925,37.669678
East Paul,Paraguay,15.5784235,428.85693,0.38720033,18.181866,82.58927,9.34105
West Jasonville,Suriname,16.344055,364.55957,1.3517133,1.4918084,45.85399,14.515517
Heathermouth,Antigua and Barbuda,9.993934,473.4828,-0.34188804,54.320686,13.016742,24.699543
Port Lisastad,Dominican Republic,14.577362,448.22235,-0.74226826,79.37378,60.102608,48.33757
North Shane,Hungary,14.240668,355.10147,-0.4017884,27.152456,28.052217,48.62863
New Nicholas,Malaysia,10.9552965,398.65448,0.41983485,82.07085,29.318905,3.961863
Heatherchester,Gibraltar,18.981424,483.7743,-1.9852995,93.409,62.221714,10.3243065
South Natalie,Russian Federation,15.220025,398.54068,0.6566663,58.695415,51.216442,0.027179342
New Ginaton,Djibouti,7.2102284,399.1444,-0.62726265,86.83659,12.695967,27.958244
North Monica,Ireland,22.488121,435.64005,2.5561688,84.42101,94.73703,26.846788
Sandersshire,Trinidad and Tobago,17.687456,560.28125,-2.5321782,20.736115,15.984416,28.669872
New Cameronfurt,Netherlands,14.689762,305.26596,0.974533,7.6473565,30.944609,43.459373
West Jessicaland,Cocos (Keeling) Islands,18.636166,460.3305,1.0432557,65.07333,32.424778,16.896118
Lake Derek,Cuba,18.585302,342.88727,0.21146324,28.862265,69.49733,21.47896
West James,Kyrgyz Republic,4.3976355,457.57538,0.5639792,28.333263,25.990206,17.099232
Colemanmouth,Mongolia,13.759209,426.98907,-1.0176722,55.307636,59.659863,22.529016
Port Mikeland,Swaziland,19.10083,426.97272,-0.5809405,40.000957,55.48731,6.630448
North Aliciahaven,Kuwait,9.223673,393.2987,0.4783922,34.061855,52.585873,13.316142
Johnburgh,Brazil,22.038374,367.61804,-0.12715076,98.821945,4.574808,41.465595
Matthewfort,Cambodia,25.409725,432.91043,-1.6745371,41.561333,44.02492,26.530922
Pierceborough,Sierra Leone,10.754658,425.87616,0.87784606,14.17694,47.75548,43.916435
Lake Monica,Russian Federation,14.952345,501.66403,-0.053678367,87.560486,62.924004,45.792988
South Raymond,Guyana,2.7763836,340.59494,-0.2884452,5.3127637,33.825413,36.085686
East Lawrence,Congo,13.748674,397.63385,-1.6317174,55.639965,64.28039,16.145826
North Roberta,Switzerland,13.605231,410.05234,-1.1744831,82.50717,26.975332,7.021072
Jonesstad,Azerbaijan,23.129627,393.8351,1.3245996,72.92065,9.958816,45.995518
Hayesside,Brunei Darussalam,11.2543335,322.47598,-0.27607906,5.806492,55.530922,27.880068
Andrewburgh,Morocco,21.389498,341.91748,0.14242299,42.725292,58.568626,47.97792
Shanemouth,Palau,16.7808,399.28647,1.1417631,45.29387,24.549023,2.036237
Wallfurt,Ghana,16.69969,445.97418,-1.7091625,59.086372,85.98636,16.01982
Charlesside,Afghanistan,13.467255,433.9101,-1.9097978,39.801743,60.276104,4.2290144
West Williamland,Bouvet Island (Bouvetoya),16.215927,396.06296,0.47876745,40.79535,93.62773,46.32287
Port Stanleystad,Netherlands Antilles,11.709936,417.36197,-0.5469496,40.86509,54.172096,47.416508
Lake James,Mongolia,16.944998,487.98007,1.5523603,98.13123,83.94618,21.581165
East Debra,North Macedonia,13.890763,303.9501,-2.1373203,71.63381,25.829489,24.522085
Torreston,Aruba,26.715492,409.13553,0.8559301,35.222244,27.348816,12.613079
Johnfurt,Saint Pierre and Miquelon,11.561724,433.52643,-0.29045898,32.36426,22.45043,26.690174
Lake Ronaldchester,Barbados,8.201306,424.29736,-0.5466695,46.530914,87.32694,31.632952
Jonesland,Reunion,9.502803,367.03867,1.0083452,43.837776,14.8387,44.211338
Morrisonview,El Salvador,19.971876,433.45474,0.9182929,48.239536,6.72255,49.697346
Zacharytown,Sao Tome and Principe,6.237047,379.6348,-1.1148815,1.5720698,12.394707,45.36447
Jamesville,Denmark,24.388254,397.8316,-0.5157673,87.742325,14.7617655,43.419918
Lake Peterberg,Guyana,14.171209,413.17245,0.7986101,73.573105,8.021329,15.384849
Lake Donnaside,Fiji,12.693995,316.89178,0.7371439,29.63516,76.59336,33.36905
Sarahburgh,Myanmar,14.100987,458.2989,0.30447245,27.526329,53.79493,27.175217
Port Kayla,Mongolia,12.602327,440.5205,0.81397665,50.212353,32.210667,9.821027
Payneberg,Netherlands,14.69709,416.68304,0.3130139,32.477135,76.804016,40.944267
West Timothy,Uruguay,16.257935,397.5009,0.72935563,63.610924,70.200775,28.892174
Port Emilyfurt,Saint Barthelemy,13.24159,402.86307,-0.17633238,36.184162,91.595924,18.037706
Fullerfort,Mali,8.562381,485.83945,-1.5470014,8.24828,63.319897,16.914034
East Dennis,Finland,15.622876,409.81866,1.8816942,31.672083,22.31292,33.56554
East Amy,Kiribati,16.054756,408.2161,0.6137713,33.01802,47.235397,29.63576
South Erik,Germany,12.143837,409.23746,-1.9552766,72.58525,67.10722,1.0962509
East Gregory,Denmark,11.86883,358.0572,0.74850845,81.15542,98.36891,18.758795
Waltermouth,Kyrgyz Republic,19.204128,388.09647,-0.02899044,64.36112,51.653214,45.81678
Lake Brittany,Colombia,19.685528,442.3956,1.3285129,34.391293,79.6768,19.359459
North David,Estonia,6.385582,435.59232,1.2319936,68.08155,19.809008,37.009987
Sydneyfurt,Uganda,24.337631,425.35754,0.8524846,8.524269,12.355922,25.456612
West Laurie,Germany,4.807168,434.332,0.68588346,64.30857,40.742874,12.966097
West Nancy,Swaziland,21.756102,364.30014,0.22426489,33.164143,47.9059,36.937767
New Michelleshire,Jamaica,16.395094,466.2201,-0.56200516,73.97335,19.121891,21.023758
Lake Garrettmouth,Hungary,17.427591,401.79514,0.016125211,96.32139,91.64486,27.26762
Kathrynmouth,New Zealand,22.45737,447.47452,0.22607443,88.545296,11.463575,32.553288
Kristinemouth,Bermuda,20.86457,446.5885,0.052813858,64.74408,22.243963,5.5210505
East Timothybury,Western Sahara,16.919065,317.316,0.100726835,25.40348,37.772224,10.512189
Josephburgh,Tonga,15.399654,406.67545,-1.0951191,35.647762,70.69046,12.070721
Marystad,Botswana,11.961007,483.1484,0.5946842,29.93886,94.932236,31.895369
Kathleenstad,Mali,11.377666,469.34515,-0.41498995,51.80949,54.32212,30.030151
Lake Stevenport,Cayman Islands,18.631,425.46243,-0.5456034,57.519955,28.403925,3.7947738
Port Richardburgh,Bosnia and Herzegovina,14.173594,380.07672,-0.1708315,11.677718,86.925095,8.761451
Buckburgh,Mayotte,20.579466,392.8673,-0.73754776,78.013374,66.67262,42.062202
Leeberg,Colombia,14.916157,413.07068,2.4838758,75.42749,59.793716,1.4231992
Kennethland,El Salvador,16.427221,417.396,0.96075076,82.35462,70.59308,45.808594
Kathleenview,French Guiana,19.219975,446.26166,0.79785997,80.38291,35.284904,15.776085
East Conniemouth,Guadeloupe,11.653994,360.9423,0.69803363,40.294556,68.669235,32.74456
Martinezbury,Serbia,13.688881,423.86682,1.1737008,86.90271,99.95556,0.58797884
Maldonadobury,Western Sahara,14.446931,383.04745,0.2505788,7.6653256,36.28009,13.352435
West Jacob,Falkland Islands (Malvinas),14.210889,336.80322,2.3703196,27.816055,11.41875,27.652195
New Joshua,United States Virgin Islands,8.266458,415.28812,-0.31252676,89.31099,26.9326,31.616154
South Jeffrey,Gambia,13.040512,372.03964,-0.8324404,54.612312,27.421133,5.8741913
Erinbury,Israel,15.707434,475.72687,-0.1687127,7.428271,5.156183,36.220978
West Jessicaport,Wallis and Futuna,13.731031,341.26315,0.48532987,16.489565,83.06,46.77673
East Samantha,Martinique,17.468225,461.16013,0.6641874,32.303062,14.845992,48.72973
East Sarahview,Latvia,11.735028,419.03073,-0.5586931,3.315728,37.72904,36.241817
East Anthony,Bolivia,15.158887,292.78143,-0.3541129,76.169205,52.07863,29.400755
New Vickie,Tuvalu,16.939388,426.33255,0.9313156,88.93993,97.183136,8.002111
East Angelaville,Saint Kitts and Nevis,14.648774,495.4335,0.14920568,95.60019,71.30763,46.612778
Valerieberg,Iran,14.654021,417.9892,-1.3451785,37.082306,48.131252,3.5839195
Sabrinastad,Comoros,13.865724,472.927,2.215174,23.52583,61.02301,37.67314
Lake Patriciaton,Albania,24.90476,333.08304,-0.3200152,79.795815,91.31711,9.586559
Knightside,Brunei Darussalam,18.998135,409.8587,1.0280709,30.825802,20.572102,8.1457
South Matthewport,Grenada,8.4896755,328.9739,0.75856876,93.9939,4.958428,41.100334
West Reneeborough,Syrian Arab Republic,19.332045,288.76065,-0.09595188,1.6261293,95.70379,37.728172
West Matthewshire,San Marino,18.837683,472.74014,0.1420454,83.69886,86.8764,6.847329
Lake Johnbury,Faroe Islands,17.171453,389.59177,-0.79016924,55.66448,62.236816,19.868454
South Kellyside,Tajikistan,15.280097,394.48267,-1.1508937,48.008713,15.176659,13.287468
Latoyaville,Cambodia,24.003391,457.4299,0.33717346,31.676668,43.257305,31.34129
Mitchellchester,Turkmenistan,21.775934,398.48895,-0.37770036,48.822083,77.4502,48.303932
Lake Davidburgh,Bolivia,14.366252,368.67746,-1.1100435,84.95245,48.77531,7.7631254
Williamsside,Mongolia,26.433859,441.25153,1.3482691,11.559705,46.99513,41.8637
Riosberg,Indonesia,20.940243,387.60388,-2.1795292,56.260418,36.30982,34.210415
East Douglasmouth,Solomon Islands,19.134861,358.1565,-1.1312087,30.425371,77.05871,5.684984
Josephport,Singapore,17.72648,310.93982,0.063135006,5.7781596,18.224693,2.7988799
South Dennis,Turkey,14.541945,406.92438,1.0579132,69.04765,3.0096152,39.01581
Lake Kenneth,Gambia,21.118984,339.9117,0.49394214,93.97993,54.565075,26.626816
North Bonnieborough,Tonga,12.761882,445.13068,-1.3449786,55.109768,91.15071,49.77471
Smithfort,Haiti,11.441554,384.50082,0.31069714,66.74335,51.174286,14.98767
Port Laura,Philippines,17.700504,432.69873,2.2345235,88.30739,82.65155,11.714863
North Elizabeth,Israel,12.3315115,320.27048,-0.81083864,50.382053,61.493603,13.721986
Wongmouth,Somalia,15.24652,400.15817,0.7914124,20.098902,61.80761,35.919994
Christinebury,Netherlands,23.85023,417.64136,-0.8807755,26.48877,10.213047,34.23212
Brandonborough,Grenada,22.367615,402.48074,1.5272514,87.38922,51.501614,42.46594
North Scottborough,El Salvador,17.21669,365.85266,0.56293756,62.56558,54.522556,33.768265
Diazmouth,Northern Mariana Islands,7.0956454,428.76358,0.60559577,95.78144,22.026093,11.331108
North Amber,Bahamas,10.463833,383.76648,0.77219313,43.95429,12.582737,18.954754
Lake Ronald,Congo,10.899851,449.038,0.02400346,89.3134,51.76325,26.038311
Lake Kelly,Congo,15.324976,425.8418,-0.36990604,3.6769705,76.23577,43.767223
Campbellshire,Georgia,30.270203,363.33618,-0.22467212,22.005701,83.19202,27.302721
West Angelaburgh,Dominican Republic,16.719326,473.81403,-0.59530437,80.739334,6.6013284,13.538312
Thomasland,Algeria,19.745058,465.81412,-1.6723201,73.68982,19.824783,36.699505
Port Carlosshire,Gambia,26.695423,408.27838,-0.6632088,46.170193,53.095047,0.6262217
Port Michaelside,Somalia,20.827055,405.5833,0.46054688,94.753586,22.77,25.191463
Blackwellberg,Puerto Rico,19.843147,438.92245,0.41863817,1.0517215,38.788082,42.962227
Joneshaven,Uzbekistan,19.247581,430.21936,0.16750383,24.456284,76.20384,25.19492
Timothyland,Morocco,18.421251,407.40643,2.3319187,21.667717,85.562874,37.688564
Robbinsmouth,Sudan,15.152358,324.84525,1.2640713,20.840452,7.201268,48.69977
North Jacqueline,Gabon,16.476892,357.69995,0.9280812,23.280607,78.41189,14.060496
New Jonathon,New Caledonia,16.721315,429.9186,1.2316953,44.278828,62.17528,32.64952
Ronniebury,Sao Tome and Principe,6.8998146,301.19223,1.28937,8.403469,75.595726,11.835319
Haydenside,Singapore,16.228634,488.2944,0.8519105,91.66069,50.28132,2.3224244
